Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,Renminbi Yuan
5119930,Silkworm graine,618,Kilogram,0,?,823004.0
5119940,Horsehair and horsehair waste,35599,Kilogram,0,?,2796447.0
5119990,"Animal products, nes; dead animals of Chapter 1",1396639,Kilogram,0,?,40921434.0
6011099,"Dormant bulbs, tubers, corms, crowns, rhizomes, not seed",60860,Number of item,8518,Kilogram,382068.0
6021000,Unrooted cuttings and slips,408,Number of item,2,Kilogram,1809.0
6022010,"Seedlings of edible fruit or nut trees, shrubs or bushes",2450400,Number of item,11447,Kilogram,1557112.0
6022090,"Edible fruit or nut trees, shrubs&bushes, not seedlings",58586,Number of item,2888,Kilogram,538418.0
6023090,"Rhododendrons&azaleas, not seedlings",9798,Number of item,13782,Kilogram,187946.0
6024010,Seedlings of roses,3000,Number of item,180,Kilogram,13365.0
6024090,"Roses, other than seedlings",62454,Number of item,31847,Kilogram,342588.0
6029010,Mushroom spawn,10373522,Kilogram,0,?,37467615.0
6029091,"Seedlings of trees, shrubs or bushes, nes",590811,Number of item,9533,Kilogram,1314703.0
6029092,"Orchid, not seedings",6493419,Number of item,950979,Kilogram,37046311.0
6029093,"Chrysanthemum, not seedings",57087,Number of item,12766,Kilogram,64035.0
6029094,"Lily, not seedings",965,Number of item,863,Kilogram,10271.0
6029095,"Carnation, not seedings",216415,Number of item,4771,Kilogram,261635.0
6029099,"Other live plants, nes, not seedings",29287900,Number of item,13420633,Kilogram,98298846.0
6031100,"Fresh cut flowers&buds of roses,for ornamental purpose",1323240,Kilogram,19568669,Number of item,45023927.0
6031200,"Fresh cut flower&buds of carnations,for ornamental purpose",947925,Kilogram,24597788,Number of item,25420138.0
6031300,"Fresh cut flowers&buds of orchids,for ornamental purpose",6468,Kilogram,78406,Number of item,1200964.0
6031400,"Fresh cut flowers&buds of chrysanthemums,for ornamental purpose",1079537,Kilogram,19410268,Number of item,27373300.0
6031500,"Fresh cut flowers&buds of lily,for ornamental purpose",261347,Kilogram,1644698,Number of item,6119998.0
6031900,"Other fresh cut flowers&buds,for ornamental purpose",2251776,Kilogram,29907133,Number of item,46774013.0
6039000,"Cut flowers&buds,other than fresh,for ornamental purpose",80156,Kilogram,1169785,Number of item,8222492.0
6042010,Fresh mosses and lichens,45,Kilogram,0,?,970.0
6042090,"Fresh foliage/branches/grasses without flowers/flowerbuds, for ornamental purpose",944449,Kilogram,0,?,20928581.0
6049010,Other mosses and lichens,81232,Kilogram,0,?,2873105.0
6049090,"Other foliage/branches/grasses without flowers/flowerbuds, for ornamental purpose",155917,Kilogram,0,?,6542039.0
7011000,Seed potatoes,25,Kilogram,0,?,26831.0
7019000,"Potatoes, fresh or chilled, not seedings",34875608,Kilogram,0,?,121273398.0
7020000,"Tomatoes, fresh or chilled",13019802,Kilogram,0,?,107014838.0
7031010,"Onions, fresh or chilled",85177362,Kilogram,0,?,274058560.0
7031020,"Shallots, fresh or chilled",2350462,Kilogram,0,?,18429015.0
7032010,"Bulbs of garlic, fresh or chilled",128915733,Kilogram,0,?,1288281711.0
7032020,"Stems or seedlins of garlic, fresh or chilled",1901046,Kilogram,0,?,19231163.0
7032090,"Other parts of garlic, fresh or chilled",5360365,Kilogram,0,?,75311511.0
7039010,"Leeks, fresh or chilled",14378,Kilogram,0,?,206322.0
7039020,"Scallion, fresh or chilled",5960670,Kilogram,0,?,36524532.0
7039090,"Other alliaceous vegetables, fresh or chilled",248138,Kilogram,0,?,2273495.0
7041010,"Cauliflowers,fresh or chilled.",7288707,Kilogram,0,?,37905494.0
7041090,"Broccoli, fresh or chilled",16581433,Kilogram,0,?,137577993.0
7042000,"Brussels sprouts, fresh or chilled",16352,Kilogram,0,?,143031.0
7049010,"Cabbages,fresh or chilled",37371512,Kilogram,0,?,105589536.0
7049090,"Kohlrabi, kale&similar edible brassicas, fresh or chilled",28549522,Kilogram,0,?,104744562.0
